title	time	revert	version	user
Bubble_sort 	2002-02-25 15:51:15	0	8	Conversion_script
Bubble_sort 	2001-12-27 07:41:05	0	7	Carey_Evans
Bubble_sort 	2001-12-14 00:39:29	0	6	AxelBoldt
Bubble_sort 	2001-12-14 00:36:28	0	5	AxelBoldt
Bubble_sort 	2001-12-14 00:35:19	0	4	AxelBoldt
Bubble_sort 	2001-12-13 23:57:08	0	3	Lee_Daniel_Crocker
Bubble_sort 	2001-12-13 23:55:58	0	2	Lee_Daniel_Crocker
Bubble_sort 	2001-10-29 20:21:51	0	1	Kragen
Yellowstone_(disambiguation) 	2002-02-25 15:43:11	0	2	Conversion_script
Yellowstone_(disambiguation) 	2001-10-25 10:02:05	0	1	24.4.254.xxx
Jews 	2002-11-23 13:32:29	0	33	RK
Jews 	2002-11-23 13:23:06	0	32	Arvindn
Jews 	2002-11-22 20:50:17	0	31	RK
Jews 	2002-11-18 08:03:10	0	30	Andre_Engels
Jews 	2002-11-17 03:44:06	0	29	DanKeshet
Jews 	2002-11-13 06:32:58	0	28	67.118.18.27
Jews 	2002-11-12 02:34:48	0	27	RK
Jews 	2002-11-03 04:28:10	1	25	Danny
Jews 	2002-11-03 04:22:04	0	26	Ezra_Wax
Jews 	2002-10-26 09:46:54	0	25	Derek_Ross
Jews 	2002-10-18 14:57:50	0	24	Olivier
Jews 	2002-09-30 02:33:53	0	23	AxelBoldt
Jews 	2002-09-30 01:18:06	0	22	AxelBoldt
Jews 	2002-09-26 22:45:25	0	21	AxelBoldt
Jews 	2002-09-26 14:24:44	0	20	205.213.111.50
Jews 	2002-09-26 14:13:45	0	19	205.213.111.50
Jews 	2002-09-26 14:11:57	0	18	205.213.111.50
Jews 	2002-09-25 16:16:35	0	17	67.194.6.89
Jews 	2002-09-14 14:53:12	0	16	Andre_Engels
Jews 	2002-09-12 19:18:20	0	15	66.118.198.131
Jews 	2002-07-28 06:04:31	0	14	Uriyan
Jews 	2002-07-28 05:04:20	0	13	BL
Jews 	2002-06-20 16:59:16	0	12	RK
Jews 	2002-06-07 10:59:19	1	11	195.149.37.126
Jews 	2002-06-07 10:22:55	0	11	165.155.128.132
Jews 	2002-06-07 10:21:42	0	10	165.155.128.139
Jews 	2002-06-06 22:28:01	0	9	Mav
Jews 	2002-05-19 04:12:29	0	8	Magnus_Manske
Jews 	2002-05-19 03:33:48	0	7	The_Anome
Jews 	2002-05-01 12:19:10	1	6	Koyaanis_Qatsi
Jews 	2002-05-01 12:12:39	0	-1	209.7.11.9
Jews 	2002-03-06 15:07:42	0	6	67.194.251.224
Jews 	2002-02-25 15:43:11	0	5	Conversion_script
Jews 	2001-12-31 19:14:41	1	3	Dmerrill
Jews 	2001-12-31 17:54:19	0	4	209.240.222.xxx
Jews 	2001-10-14 22:30:51	0	3	RK
Jews 	2001-10-14 19:38:45	0	2	200.255.83.xxx
Jews 	2001-10-03 05:18:51	0	1	Simon_J_Kissane
Plasma_(physics) 	2002-12-23 02:09:05	0	20	Mav
Plasma_(physics) 	2002-12-13 16:52:18	0	19	Tapper_of_spines
Plasma_(physics) 	2002-11-20 09:08:59	0	18	208.186.187.75
Plasma_(physics) 	2002-07-16 21:15:43	0	17	Vicki_Rosenzweig
Plasma_(physics) 	2002-07-16 20:58:06	0	16	Mav
Plasma_(physics) 	2002-07-16 20:46:22	0	15	Secretsaregood
Plasma_(physics) 	2002-07-16 20:28:42	0	14	129.101.8.222
Plasma_(physics) 	2002-06-17 01:54:03	0	13	217.168.172.202
Plasma_(physics) 	2002-02-25 15:51:15	0	12	Trelvis
Plasma_(physics) 	2002-02-22 13:58:18	0	11	Trelvis
Plasma_(physics) 	2002-02-22 11:30:30	0	10	Trelvis
Plasma_(physics) 	2002-02-21 14:03:22	0	9	Trelvis
Plasma_(physics) 	2002-02-21 14:02:33	0	8	Conversion_script
Plasma_(physics) 	2001-12-20 06:22:44	0	7	AstroNomer
Plasma_(physics) 	2001-12-19 15:34:22	0	6	April
Plasma_(physics) 	2001-12-12 17:12:16	0	5	Cjc38
Plasma_(physics) 	2001-12-12 17:11:01	0	4	Cjc38
Plasma_(physics) 	2001-12-12 16:40:25	0	3	Cjc38
Plasma_(physics) 	2001-12-12 16:35:02	0	2	Cjc38
Plasma_(physics) 	2001-12-12 16:33:53	0	1	Cjc38
Coup 	2002-10-17 23:02:12	0	7	FvdP
Coup 	2002-10-17 21:53:24	0	6	FvdP
Coup 	2002-10-17 21:50:11	0	5	FvdP
Coup 	2002-10-17 21:31:44	0	4	Eclecticology
Coup 	2002-09-19 15:32:18	0	3	Greg_Godwin
Coup 	2002-06-21 23:48:12	0	2	Bryan_Derksen
Coup 	2002-04-12 08:52:31	0	1	JHK
Coup_d'état 	2002-12-26 00:33:25	0	44	Gianfranco
Coup_d'état 	2002-12-21 07:53:00	0	43	203.109.254.58
Coup_d'état 	2002-12-20 23:58:03	0	42	203.97.97.131
Coup_d'état 	2002-12-09 22:29:51	0	41	Ed_Poor
Coup_d'état 	2002-11-03 15:09:49	0	40	209.105.200.55
Coup_d'état 	2002-10-18 16:15:05	0	39	Soulpatch
Coup_d'état 	2002-10-17 22:16:36	0	38	Soulpatch
Coup_d'état 	2002-10-17 21:47:15	0	37	Benwbrum
Coup_d'état 	2002-09-03 17:29:49	0	36	Ortolan88
Coup_d'état 	2002-09-02 23:39:24	0	35	AstroNomer
Coup_d'état 	2002-09-02 17:56:00	0	34	Christopher_Mahan
Coup_d'état 	2002-09-02 17:55:29	0	33	Christopher_Mahan
Coup_d'état 	2002-09-02 17:52:27	0	32	Christopher_Mahan
Coup_d'état 	2002-09-02 17:34:37	0	31	209.226.107.51
Coup_d'état 	2002-08-27 00:29:33	0	30	Tarquin
Coup_d'état 	2002-08-22 16:27:41	0	29	Zadcat
Coup_d'état 	2002-08-22 16:24:54	0	28	Zadcat
Coup_d'état 	2002-08-05 12:38:53	0	27	AstroNomer
Coup_d'état 	2002-08-02 18:58:23	0	26	63.194.81.201
Coup_d'état 	2002-08-02 18:57:01	0	25	63.194.81.201
Coup_d'état 	2002-07-30 15:57:31	0	24	Hotlorp
Coup_d'état 	2002-05-22 10:17:54	0	23	Ortolan88
Coup_d'état 	2002-04-26 14:27:56	0	22	--_April
Coup_d'état 	2002-04-26 14:20:50	0	21	--_April
Coup_d'état 	2002-04-26 11:47:44	0	20	Ortolan88
Coup_d'état 	2002-04-23 11:42:02	0	19	213.4.232.156
Coup_d'état 	2002-04-23 05:56:19	0	18	Timo_Honkasalo
Coup_d'état 	2002-04-22 09:48:09	1	17	62.98.142.169
Coup_d'état 	2002-04-22 09:46:25	0	17	62.98.142.169
Coup_d'état 	2002-04-22 04:44:52	0	16	Guppie
Coup_d'état 	2002-04-16 13:47:31	0	15	DanKeshet
Coup_d'état 	2002-04-16 05:08:14	0	14	Hellbent
Coup_d'état 	2002-04-15 17:54:27	1	12	Roadrunner
Coup_d'état 	2002-04-15 15:50:17	0	13	Hellbent
Coup_d'état 	2002-04-12 14:40:03	0	12	Roadrunner
Coup_d'état 	2002-04-12 10:34:01	0	11	Roadrunner
Coup_d'état 	2002-04-12 08:59:43	0	10	JHK
Coup_d'état 	2002-04-12 02:06:44	0	9	Hellbent
Coup_d'état 	2002-03-13 08:21:31	0	8	134.132.115.250
Coup_d'état 	2002-03-13 08:20:56	0	7	134.132.115.250
Coup_d'état 	2002-03-13 01:46:35	0	6	Guppie
